,Question,A,B,C,D,Answer
0,国际男子足球比赛中，人们常结合各国的历史、地理、文化等因素，给予参赛队伍别称。下列国家与其别称对应不恰当的是,意大利：高卢雄鸡,阿根廷：潘帕斯雄鹰,英格兰：三狮军团,伊朗：波斯铁骑,A
1,A、B两地各有一批相同数量的货物箱需由某运输队用卡车完成交换，假设每辆卡车运送的货物箱数量相同，运输队首先从A地出发，中途10辆卡车因抛锚彻底退出这次运输，使得其余车辆必须每车再多运2箱，到达B地卸货后又有15辆卡车不返程，参与返程的卡车每辆都需比出发时多装运6箱。那么两地共有货物多少箱,3600,4000,1800,2000,A
2,党的十九大报告指出，发展必须是科学发展，必须坚定不移贯彻创新、协调、绿色、开放、共享的发展理念。下列与之有关的说法，正确的有几项?a创新发展注重的是解决发展动力问题；b协调发展注重的是解决社会公平正义问题；c绿色发展注重的是解决人与自然和谐共生问题；d开放发展注重的是解决发展内外联动问题；e共享发展注重的是解决发展不平衡问题,4,1,3,2,C
3,2014年是第二次世界大战爆发75周年，3月28日，国家主席习近平在德国科尔伯基金会发表演讲，谈到二战时引用到的名言是,历史的道路不是涅瓦大街上的人行道，它完全是在田野中前进的,胜利不会向我走来，我必须自己走向胜利,世界上最宽阔的是海洋，比海洋更宽阔的是天空，比天空更宽阔的是人的胸怀,谁忘记历史，谁就会在灵魂上生病,D
4,“心诚则灵，心不诚则不灵”的说法是,认为世界是绝对精神外化的客观唯心主义观点,主张物质和意识具有统一性的辩证唯物主义观点,夸大了意识能动作用的唯心主义观点,主张思想就是物质的庸俗唯物主义观点,C
5,垂直思考法，即按照一定的思维路线或思维逻辑进行的、向上或向下的垂直式思考方法．这是一种头脑的自我扩大方法，以思维的逻辑性、严密性和深刻性见长，它一向被评价为最理想的思考法之一。根据上述定义，下列应用了垂直思考法的是,某公司的高级顾问老王能对一个问题进行多方位思考，提出各种不同的新见解,广告公司的几位创意人员为了策划新的广告项目，采用头脑风暴法集思广益,在人们普遍考虑“人为什么会得天花”时，琴纳考虑的则是“为什么在奶牛场劳动的女工不得天花”,某数学天才通过层层推理，证明了一道几十年来世界上无人能解的数学难题,D
6,关于生活常识，下列说法错误的是,吃松花蛋时佐以食醋，是为了减少松花蛋的涩味,纯碱使馒头稀松多孔，是因为化学反应产生二氧化碳,千滚水不宜饮用，是因为其中的细菌含量会大大增加,电灯泡中加入少量红磷，是为了防止灯丝氧化,C
7,垃圾填埋场是厌氧细菌的滋生地，会产生大量甲烷。甲烷的温室效应比二氧化碳更强，尽管可以将其捕捉并转化为能源，但是即使最高效的回收系统，仍有高达10%的甲烷发生逃逸。由于垃圾填埋场产生的甲烷大部分来自有机废弃物，因此可以用更绿色的方式处理，最简单的方法就是堆肥。实际上，垃圾填埋场里三分之二的垃圾可以堆肥，这就大大减少了甲烷的产量。由于堆肥过程中会产生高温、高压，有机废弃物中的碳可能部分转化为二氧化碳和一氧化碳。所以我们可以考虑将这些有机物重新组合成液态燃料（乙醇或甲醇），或用作其他工业原料。这段文字主要介绍了,用堆肥方式处理垃圾填埋场的垃圾能有效减少甲烷的生成,甲烷的温室效应比二氧化碳更甚,堆肥这种垃圾处理方式需要将其生成的有机废弃物重新组合,现阶段的甲烷回收系统对甲烷的捕捉利用依旧有限,A
8,新形势下党的思想宣传工作的使命任务是,举旗帜、聚民心、育新人、兴文化、展形象,树新风、育新德、兴产业、建形象、顺民心,聚民心、顺时代、树新风、讲美德、育新人,聚民声、育思想、兴文化、树新风、富产业,A
9,这些仅仅只是元素故事中的__。每个元素都具有其独特的性质，也各自拥有不同的发现故事。元素不仅被应用在生活的方方面面，它们中的一些也是探索基础物理必不可少的。填入划横线部分最恰当的一项是,九牛一毛,只言片语,细枝末节,冰山一角,D
10,冰：水,犬：獒,木：炭,火：灰,桑田：沧海,B
11,下列生活中的做法正确的是,用家用“84消毒液”对白色织物消毒,用聚氯乙烯（PVC）保鲜膜包裹保存高温油炸食物,用“201不锈钢”制成的锅炒菜,在牙龈肿痛时，用5摄氏度的凉水刷牙,A
12,“套路贷”是假借民间借贷名义，非法占有被害人财物的违法犯罪行为，是扫黑除恶专项斗争的重点打击对象。下列关于“套路贷”的说法正确的是,因法律规定民间借贷最高年利率为36%，故超过36%的可认定为“套路贷”,“套路贷”犯罪案件可由犯罪行为发生地、结果发生地及犯罪嫌疑人居住地公安机关侦查,因“套路贷”属于非法行为，追债时一般不会采用仲裁、诉讼方式,我国刑法设置有专门针对“套路贷”的罪名,B
